Source,Destination,Protocol,Length,Info
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,162.159.130.234,TCP,54,63850  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=0
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1176,50568  >  50009 Len=1134
192.168.1.69,66.22.238.147,UDP,1176,50568  >  50009 Len=1134
192.168.1.69,66.22.238.147,UDP,1176,50568  >  50009 Len=1134
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1206,50568  >  50009 Len=1164
192.168.1.69,66.22.238.147,UDP,1206,50568  >  50009 Len=1164
192.168.1.69,66.22.238.147,UDP,1206,50568  >  50009 Len=1164
192.168.1.69,66.22.238.147,UDP,1206,50568  >  50009 Len=1164
192.168.1.69,66.22.238.147,UDP,1206,50568  >  50009 Len=1164
192.168.1.69,66.22.238.147,UDP,1206,50568  >  50009 Len=1164
192.168.1.69,66.22.238.147,UDP,1207,50568  >  50009 Len=1165
192.168.1.69,66.22.238.147,UDP,1207,50568  >  50009 Len=1165
192.168.1.69,66.22.238.147,UDP,1207,50568  >  50009 Len=1165
192.168.1.69,66.22.238.147,UDP,1207,50568  >  50009 Len=1165
192.168.1.69,66.22.238.147,UDP,1207,50568  >  50009 Len=1165
192.168.1.69,66.22.238.147,RTCP,118,Sender Report   
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1245,50568  >  50009 Len=1203
192.168.1.69,66.22.238.147,UDP,1245,50568  >  50009 Len=1203
192.168.1.69,66.22.238.147,UDP,1245,50568  >  50009 Len=1203
192.168.1.69,66.22.238.147,UDP,1245,50568  >  50009 Len=1203
192.168.1.69,66.22.238.147,UDP,1245,50568  >  50009 Len=1203
192.168.1.69,66.22.238.147,UDP,1246,50568  >  50009 Len=1204
192.168.1.69,66.22.238.147,UDP,1246,50568  >  50009 Len=1204
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1246,50568  >  50009 Len=1204
192.168.1.69,66.22.238.147,UDP,1246,50568  >  50009 Len=1204
192.168.1.69,66.22.238.147,UDP,1246,50568  >  50009 Len=1204
192.168.1.69,66.22.238.147,UDP,1246,50568  >  50009 Len=1204
192.168.1.69,66.22.238.147,UDP,1247,50568  >  50009 Len=1205
192.168.1.69,66.22.238.147,UDP,1247,50568  >  50009 Len=1205
192.168.1.69,66.22.238.147,UDP,1247,50568  >  50009 Len=1205
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1128,50568  >  50009 Len=1086
192.168.1.69,66.22.238.147,UDP,1128,50568  >  50009 Len=1086
192.168.1.69,66.22.238.147,UDP,1128,50568  >  50009 Len=1086
192.168.1.69,66.22.238.147,RTCP,102,Sender Report   
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1154,50568  >  50009 Len=1112
192.168.1.69,66.22.238.147,UDP,1154,50568  >  50009 Len=1112
192.168.1.69,66.22.238.147,UDP,1155,50568  >  50009 Len=1113
192.168.1.69,66.22.238.147,UDP,1155,50568  >  50009 Len=1113
192.168.1.69,66.22.238.147,UDP,1155,50568  >  50009 Len=1113
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,1155,50568  >  50009 Len=1113
192.168.1.69,66.22.238.147,UDP,1155,50568  >  50009 Len=1113
192.168.1.69,66.22.238.147,UDP,1155,50568  >  50009 Len=1113
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1185,50568  >  50009 Len=1143
192.168.1.69,66.22.238.147,UDP,1185,50568  >  50009 Len=1143
192.168.1.69,66.22.238.147,UDP,1185,50568  >  50009 Len=1143
192.168.1.69,66.22.238.147,UDP,1185,50568  >  50009 Len=1143
192.168.1.69,66.22.238.147,UDP,1185,50568  >  50009 Len=1143
192.168.1.69,66.22.238.147,UDP,1186,50568  >  50009 Len=1144
192.168.1.69,66.22.238.147,UDP,1186,50568  >  50009 Len=1144
192.168.1.69,66.22.238.147,UDP,1186,50568  >  50009 Len=1144
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,162.159.130.234,TCP,54,63850  >  443 [ACK] Seq=1 Ack=75 Win=513 Len=0
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1211,50568  >  50009 Len=1169
192.168.1.69,66.22.238.147,UDP,1211,50568  >  50009 Len=1169
192.168.1.69,66.22.238.147,UDP,1211,50568  >  50009 Len=1169
192.168.1.69,66.22.238.147,UDP,1211,50568  >  50009 Len=1169
192.168.1.69,66.22.238.147,UDP,1211,50568  >  50009 Len=1169
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,RTCP,102,Sender Report   
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1189,50568  >  50009 Len=1147
192.168.1.69,66.22.238.147,UDP,1189,50568  >  50009 Len=1147
192.168.1.69,66.22.238.147,UDP,1189,50568  >  50009 Len=1147
192.168.1.69,66.22.238.147,UDP,1189,50568  >  50009 Len=1147
192.168.1.69,66.22.238.147,UDP,1190,50568  >  50009 Len=1148
192.168.1.69,66.22.238.147,UDP,1190,50568  >  50009 Len=1148
192.168.1.69,66.22.238.147,UDP,1190,50568  >  50009 Len=1148
192.168.1.69,66.22.238.147,UDP,1190,50568  >  50009 Len=1148
192.168.1.69,66.22.238.147,UDP,1190,50568  >  50009 Len=1148
192.168.1.69,66.22.238.147,UDP,1190,50568  >  50009 Len=1148
192.168.1.69,66.22.238.147,UDP,1190,50568  >  50009 Len=1148
192.168.1.69,66.22.238.147,UDP,1190,50568  >  50009 Len=1148
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,50,60953  >  50021 Len=8
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1210,50568  >  50009 Len=1168
192.168.1.69,66.22.238.147,UDP,1211,50568  >  50009 Len=1169
192.168.1.69,66.22.238.147,UDP,1211,50568  >  50009 Len=1169
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1221,50568  >  50009 Len=1179
192.168.1.69,66.22.238.147,UDP,1221,50568  >  50009 Len=1179
192.168.1.69,66.22.238.147,UDP,1221,50568  >  50009 Len=1179
192.168.1.69,66.22.238.147,UDP,1221,50568  >  50009 Len=1179
192.168.1.69,66.22.238.147,UDP,1221,50568  >  50009 Len=1179
192.168.1.69,66.22.238.147,UDP,1221,50568  >  50009 Len=1179
192.168.1.69,66.22.238.147,UDP,1221,50568  >  50009 Len=1179
192.168.1.69,66.22.238.147,UDP,1221,50568  >  50009 Len=1179
192.168.1.69,66.22.238.147,UDP,1222,50568  >  50009 Len=1180
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,UDP,1171,50568  >  50009 Len=1129
192.168.1.69,66.22.238.147,RTCP,102,Sender Report   
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1229,50568  >  50009 Len=1187
192.168.1.69,66.22.238.147,UDP,1229,50568  >  50009 Len=1187
192.168.1.69,66.22.238.147,UDP,1229,50568  >  50009 Len=1187
192.168.1.69,66.22.238.147,UDP,1230,50568  >  50009 Len=1188
192.168.1.69,66.22.238.147,UDP,1230,50568  >  50009 Len=1188
192.168.1.69,66.22.238.147,UDP,1230,50568  >  50009 Len=1188
192.168.1.69,66.22.238.147,UDP,1230,50568  >  50009 Len=1188
192.168.1.69,66.22.238.147,UDP,1230,50568  >  50009 Len=1188
192.168.1.69,66.22.238.147,UDP,1230,50568  >  50009 Len=1188
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,1230,50568  >  50009 Len=1188
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
